time,recluster_cnt,incluster_cnt,floorplan_name,event,link
2021-11-19 13:52:53.304630,0,0,01_16_a0116133090002100030A,1,[]
2021-11-19 13:52:54.347513,0,0,01_02_A0102134010001000038z,1,"[['rn', 0, 1], ['fs', 0, 1], ['lc', 0, 1], ['rc', 0, 1], ['rsl', 0, 1]]"
2021-11-19 13:52:54.924279,0,0,01_17_a0117136090000400033z,1,"[['rn', 0, 1], ['rn', 1, 2], ['fs', 0, 1], ['fs', 0, 2], ['lc', 0, 1], ['lc', 0, 2], ['lc', 1, 2], ['rc', 0, 1], ['rc', 0, 2], ['rc', 1, 2], ['rs', 1, 2], ['rsl', 0, 1]]"
2021-11-19 13:53:16.324089,0,0,01_20_a0120150020000200032z,0,"[['rn', 0, 1], ['rn', 1, 2], ['rn', 1, 3], ['rn', 2, 3], ['fs', 0, 1], ['fs', 0, 2], ['fs', 0, 3], ['fs', 2, 3], ['lc', 0, 1], ['lc', 0, 2], ['lc', 1, 2], ['lc', 0, 3], ['lc', 1, 3], ['lc', 2, 3], ['rc', 0, 1], ['rc', 0, 2], ['rc', 1, 2], ['rc', 1, 3], ['rc', 2, 3], ['rs', 1, 2], ['rs', 1, 3], ['rs', 2, 3], ['rsl', 0, 1]]"
2021-11-19 13:53:20.479277,0,0,01_20_A0120150040002500032z,0,"[['rn', 0, 1], ['rn', 1, 2], ['rn', 1, 3], ['rn', 2, 3], ['rn', 1, 4], ['rn', 2, 4], ['rn', 3, 4], ['fs', 0, 1], ['fs', 0, 2], ['fs', 0, 3], ['fs', 2, 3], ['fs', 0, 4], ['fs', 2, 4], ['fs', 3, 4], ['lc', 0, 1], ['lc', 0, 2], ['lc', 1, 2], ['lc', 0, 3], ['lc', 1, 3], ['lc', 2, 3], ['lc', 0, 4], ['lc', 1, 4], ['lc', 2, 4], ['lc', 3, 4], ['rc', 0, 1], ['rc', 0, 2], ['rc', 1, 2], ['rc', 1, 3], ['rc', 2, 3], ['rc', 1, 4], ['rc', 2, 4], ['rc', 3, 4], ['rs', 1, 2], ['rs', 1, 3], ['rs', 2, 3], ['rs', 1, 4], ['rs', 2, 4], ['rs', 3, 4], ['rsl', 0, 1], ['rsl', 3, 4]]"
2021-11-19 13:53:24.233428,0,0,01_12_A0112156060000800031z,0,"[['rn', 0, 1], ['rn', 1, 2], ['rn', 1, 3], ['rn', 2, 3], ['rn', 1, 4], ['rn', 2, 4], ['rn', 3, 4], ['rn', 1, 5], ['rn', 2, 5], ['rn', 3, 5], ['rn', 4, 5], ['fs', 0, 1], ['fs', 0, 2], ['fs', 0, 3], ['fs', 2, 3], ['fs', 0, 4], ['fs', 2, 4], ['fs', 3, 4], ['fs', 1, 5], ['lc', 0, 1], ['lc', 0, 2], ['lc', 1, 2], ['lc', 0, 3], ['lc', 1, 3], ['lc', 2, 3], ['lc', 0, 4], ['lc', 1, 4], ['lc', 2, 4], ['lc', 3, 4], ['lc', 1, 5], ['lc', 2, 5], ['rc', 0, 1], ['rc', 0, 2], ['rc', 1, 2], ['rc', 1, 3], ['rc', 2, 3], ['rc', 1, 4], ['rc', 2, 4], ['rc', 3, 4], ['rc', 1, 5], ['rs', 1, 2], ['rs', 1, 3], ['rs', 2, 3], ['rs', 1, 4], ['rs', 2, 4], ['rs', 3, 4], ['rs', 1, 5], ['rs', 2, 5], ['rs', 3, 5], ['rs', 4, 5], ['rsl', 0, 1], ['rsl', 3, 4], ['rsl', 1, 5]]"
2021-11-19 13:53:28.277212,0,0,01_13_A0113121030001400024B,0,"[['rn', 0, 1], ['rn', 1, 2], ['rn', 1, 3], ['rn', 2, 3], ['rn', 1, 4], ['rn', 2, 4], ['rn', 3, 4], ['rn', 1, 5], ['rn', 2, 5], ['rn', 3, 5], ['rn', 4, 5], ['rn', 0, 6], ['rn', 2, 6], ['fs', 0, 1], ['fs', 0, 2], ['fs', 0, 3], ['fs', 2, 3], ['fs', 0, 4], ['fs', 2, 4], ['fs', 3, 4], ['fs', 1, 5], ['fs', 2, 6], ['lc', 0, 1], ['lc', 0, 2], ['lc', 1, 2], ['lc', 0, 3], ['lc', 1, 3], ['lc', 2, 3], ['lc', 0, 4], ['lc', 1, 4], ['lc', 2, 4], ['lc', 3, 4], ['lc', 1, 5], ['lc', 2, 5], ['lc', 0, 6], ['lc', 2, 6], ['rc', 0, 1], ['rc', 0, 2], ['rc', 1, 2], ['rc', 1, 3], ['rc', 2, 3], ['rc', 1, 4], ['rc', 2, 4], ['rc', 3, 4], ['rc', 1, 5], ['rc', 0, 6], ['rc', 2, 6], ['rc', 4, 6], ['rs', 1, 2], ['rs', 1, 3], ['rs', 2, 3], ['rs', 1, 4], ['rs', 2, 4], ['rs', 3, 4], ['rs', 1, 5], ['rs', 2, 5], ['rs', 3, 5], ['rs', 4, 5], ['rsl', 0, 1], ['rsl', 3, 4], ['rsl', 1, 5], ['rsl', 2, 6]]"
2021-11-19 13:53:47.106718,0,0,01_01_A0101135270002800061z,0,"[['rn', 0, 1], ['rn', 1, 2], ['rn', 1, 3], ['rn', 2, 3], ['rn', 1, 4], ['rn', 2, 4], ['rn', 3, 4], ['rn', 1, 5], ['rn', 2, 5], ['rn', 3, 5], ['rn', 4, 5], ['rn', 0, 6], ['rn', 2, 6], ['rn', 0, 7], ['fs', 0, 1], ['fs', 0, 2], ['fs', 0, 3], ['fs', 2, 3], ['fs', 0, 4], ['fs', 2, 4], ['fs', 3, 4], ['fs', 1, 5], ['fs', 2, 6], ['fs', 0, 7], ['fs', 3, 7], ['lc', 0, 1], ['lc', 0, 2], ['lc', 1, 2], ['lc', 0, 3], ['lc', 1, 3], ['lc', 2, 3], ['lc', 0, 4], ['lc', 1, 4], ['lc', 2, 4], ['lc', 3, 4], ['lc', 1, 5], ['lc', 2, 5], ['lc', 0, 6], ['lc', 2, 6], ['lc', 0, 7], ['rc', 0, 1], ['rc', 0, 2], ['rc', 1, 2], ['rc', 1, 3], ['rc', 2, 3], ['rc', 1, 4], ['rc', 2, 4], ['rc', 3, 4], ['rc', 1, 5], ['rc', 0, 6], ['rc', 2, 6], ['rc', 4, 6], ['rc', 0, 7], ['rs', 1, 2], ['rs', 1, 3], ['rs', 2, 3], ['rs', 1, 4], ['rs', 2, 4], ['rs', 3, 4], ['rs', 1, 5], ['rs', 2, 5], ['rs', 3, 5], ['rs', 4, 5], ['rs', 0, 7], ['rsl', 0, 1], ['rsl', 3, 4], ['rsl', 1, 5], ['rsl', 2, 6], ['rsl', 0, 7]]"
2021-11-19 13:53:51.925286,0,0,01_01_a0101135230001900032z,1,"[['rn', 0, 1], ['rn', 1, 2], ['rn', 1, 3], ['rn', 2, 3], ['rn', 1, 4], ['rn', 2, 4], ['rn', 3, 4], ['rn', 1, 5], ['rn', 2, 5], ['rn', 3, 5], ['rn', 4, 5], ['rn', 0, 6], ['rn', 2, 6], ['rn', 0, 7], ['rn', 0, 8], ['fs', 0, 1], ['fs', 0, 2], ['fs', 0, 3], ['fs', 2, 3], ['fs', 0, 4], ['fs', 2, 4], ['fs', 3, 4], ['fs', 1, 5], ['fs', 2, 6], ['fs', 0, 7], ['fs', 3, 7], ['fs', 0, 8], ['lc', 0, 1], ['lc', 0, 2], ['lc', 1, 2], ['lc', 0, 3], ['lc', 1, 3], ['lc', 2, 3], ['lc', 0, 4], ['lc', 1, 4], ['lc', 2, 4], ['lc', 3, 4], ['lc', 1, 5], ['lc', 2, 5], ['lc', 0, 6], ['lc', 2, 6], ['lc', 0, 7], ['lc', 0, 8], ['lc', 2, 8], ['rc', 0, 1], ['rc', 0, 2], ['rc', 1, 2], ['rc', 1, 3], ['rc', 2, 3], ['rc', 1, 4], ['rc', 2, 4], ['rc', 3, 4], ['rc', 1, 5], ['rc', 0, 6], ['rc', 2, 6], ['rc', 4, 6], ['rc', 0, 7], ['rc', 0, 8], ['rs', 1, 2], ['rs', 1, 3], ['rs', 2, 3], ['rs', 1, 4], ['rs', 2, 4], ['rs', 3, 4], ['rs', 1, 5], ['rs', 2, 5], ['rs', 3, 5], ['rs', 4, 5], ['rs', 0, 7], ['rs', 0, 8], ['rs', 3, 8], ['rs', 5, 8], ['rs', 6, 8], ['rs', 7, 8], ['rsl', 0, 1], ['rsl', 3, 4], ['rsl', 1, 5], ['rsl', 2, 6], ['rsl', 0, 7], ['rsl', 0, 8]]"
2021-11-19 13:53:53.549625,0,0,01_25_a0125131130000700032z,1,"[['rn', 0, 1], ['rn', 1, 2], ['rn', 1, 3], ['rn', 2, 3], ['rn', 1, 4], ['rn', 2, 4], ['rn', 3, 4], ['rn', 1, 5], ['rn', 2, 5], ['rn', 3, 5], ['rn', 4, 5], ['rn', 0, 6], ['rn', 2, 6], ['rn', 0, 7], ['rn', 0, 8], ['rn', 3, 9], ['rn', 5, 9], ['rn', 6, 9], ['rn', 7, 9], ['rn', 8, 9], ['fs', 0, 1], ['fs', 0, 2], ['fs', 0, 3], ['fs', 2, 3], ['fs', 0, 4], ['fs', 2, 4], ['fs', 3, 4], ['fs', 1, 5], ['fs', 2, 6], ['fs', 0, 7], ['fs', 3, 7], ['fs', 0, 8], ['fs', 0, 9], ['lc', 0, 1], ['lc', 0, 2], ['lc', 1, 2], ['lc', 0, 3], ['lc', 1, 3], ['lc', 2, 3], ['lc', 0, 4], ['lc', 1, 4], ['lc', 2, 4], ['lc', 3, 4], ['lc', 1, 5], ['lc', 2, 5], ['lc', 0, 6], ['lc', 2, 6], ['lc', 0, 7], ['lc', 0, 8], ['lc', 2, 8], ['lc', 0, 9], ['lc', 3, 9], ['lc', 5, 9], ['lc', 6, 9], ['lc', 7, 9], ['lc', 8, 9], ['rc', 0, 1], ['rc', 0, 2], ['rc', 1, 2], ['rc', 1, 3], ['rc', 2, 3], ['rc', 1, 4], ['rc', 2, 4], ['rc', 3, 4], ['rc', 1, 5], ['rc', 0, 6], ['rc', 2, 6], ['rc', 4, 6], ['rc', 0, 7], ['rc', 0, 8], ['rc', 3, 9], ['rc', 5, 9], ['rc', 6, 9], ['rc', 7, 9], ['rs', 1, 2], ['rs', 1, 3], ['rs', 2, 3], ['rs', 1, 4], ['rs', 2, 4], ['rs', 3, 4], ['rs', 1, 5], ['rs', 2, 5], ['rs', 3, 5], ['rs', 4, 5], ['rs', 0, 7], ['rs', 0, 8], ['rs', 3, 8], ['rs', 5, 8], ['rs', 6, 8], ['rs', 7, 8], ['rs', 3, 9], ['rs', 5, 9], ['rs', 6, 9], ['rs', 7, 9], ['rs', 8, 9], ['rsl', 0, 1], ['rsl', 3, 4], ['rsl', 1, 5], ['rsl', 2, 6], ['rsl', 0, 7], ['rsl', 0, 8]]"
2021-11-19 13:53:58.960495,0,0,01_17_a0117136090000400033z,2,"[['rn', 0, 1], ['rn', 1, 2], ['rn', 1, 3], ['rn', 2, 3], ['rn', 1, 4], ['rn', 2, 4], ['rn', 3, 4], ['rn', 1, 5], ['rn', 2, 5], ['rn', 3, 5], ['rn', 4, 5], ['rn', 0, 6], ['rn', 2, 6], ['rn', 0, 7], ['rn', 0, 8], ['rn', 3, 9], ['rn', 5, 9], ['rn', 6, 9], ['rn', 7, 9], ['rn', 8, 9], ['fs', 0, 1], ['fs', 0, 2], ['fs', 0, 3], ['fs', 2, 3], ['fs', 0, 4], ['fs', 2, 4], ['fs', 3, 4], ['fs', 1, 5], ['fs', 2, 6], ['fs', 0, 7], ['fs', 3, 7], ['fs', 0, 8], ['fs', 0, 9], ['lc', 0, 1], ['lc', 0, 2], ['lc', 1, 2], ['lc', 0, 3], ['lc', 1, 3], ['lc', 2, 3], ['lc', 0, 4], ['lc', 1, 4], ['lc', 2, 4], ['lc', 3, 4], ['lc', 1, 5], ['lc', 2, 5], ['lc', 0, 6], ['lc', 2, 6], ['lc', 0, 7], ['lc', 0, 8], ['lc', 2, 8], ['lc', 0, 9], ['lc', 3, 9], ['lc', 5, 9], ['lc', 6, 9], ['lc', 7, 9], ['lc', 8, 9], ['rc', 0, 1], ['rc', 0, 2], ['rc', 1, 2], ['rc', 1, 3], ['rc', 2, 3], ['rc', 1, 4], ['rc', 2, 4], ['rc', 3, 4], ['rc', 1, 5], ['rc', 0, 6], ['rc', 2, 6], ['rc', 4, 6], ['rc', 0, 7], ['rc', 0, 8], ['rc', 3, 9], ['rc', 5, 9], ['rc', 6, 9], ['rc', 7, 9], ['rs', 1, 2], ['rs', 1, 3], ['rs', 2, 3], ['rs', 1, 4], ['rs', 2, 4], ['rs', 3, 4], ['rs', 1, 5], ['rs', 2, 5], ['rs', 3, 5], ['rs', 4, 5], ['rs', 0, 7], ['rs', 0, 8], ['rs', 3, 8], ['rs', 5, 8], ['rs', 6, 8], ['rs', 7, 8], ['rs', 3, 9], ['rs', 5, 9], ['rs', 6, 9], ['rs', 7, 9], ['rs', 8, 9], ['rsl', 0, 1], ['rsl', 3, 4], ['rsl', 1, 5], ['rsl', 2, 6], ['rsl', 0, 7], ['rsl', 0, 8]]"
