,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.3333333333333333,1.0479521857923495,48.0,27.0,2.009871088405998,1.3223042939973213
1,01_01_a0101135010000300031z,0.5,0.20763032581453636,31.0,18.0,1.7331905032192831,0.7875978305727099
2,01_01_a0101135010000300042z,0.5,0.2766090488968396,27.0,17.0,1.7338021883092238,0.8211686901586719
3,01_01_a0101135010001100026z,0.5,0.4846382398753894,39.0,14.0,1.4148991508792956,0.7639036125731027
4,01_01_a0101135010001100037z,0.5,0.481040725047081,39.0,14.0,1.4150727513022092,0.763488937087434
5,01_01_A0101135010001900032z,0.5,0.3996029624277457,35.0,17.0,1.4158700482437692,0.7502952664966591
6,01_01_A0101135010001900041z,0.6666666666666666,0.09971170806335494,32.0,14.0,1.001420975274724,0.622293962101362
7,01_01_a0101135010002200032A,0.5,0.2598048730548731,37.0,19.0,1.7328924106749402,0.8196965772712578
8,01_01_a0101135010002200032B,0.3333333333333333,0.24521101829753375,35.0,22.0,1.7330441844680375,0.7935172390316622
9,01_01_a0101135010002200032D,0.3333333333333333,0.4070612745098039,39.0,21.0,1.7338957422209995,0.8165083845346188
10,01_01_A0101135010002600058a,0.16666666666666666,0.22842905773420474,67.0,46.0,1.4153657125128196,0.8525953271109772
11,01_01_A0101135010002600058b,0.16666666666666666,0.1399212454212454,58.0,29.0,1.7330696901135585,0.8543756122894415
12,01_01_A0101135010002600058c,0.16666666666666666,0.1399212454212454,58.0,29.0,1.7332821450566565,0.8633340763463099
13,01_01_A0101135010002600066z,0.5,0.2390315158546017,55.0,33.0,1.0011434404653978,0.8070962718724121
14,01_01_a0101135010002600076z,0.3333333333333333,0.27279323308270675,66.0,41.0,1.003015489870977,0.9045795136906912
15,01_01_a0101135010002600077z,0.5,0.12640891600703608,38.0,24.0,1.7353518226367384,0.757959353642556
16,01_01_a0101135010003000030z,0.3333333333333333,0.2550510752688172,42.0,28.0,2.0006469313110373,0.8451131727877312
17,01_01_a0101135010003000032z,0.3333333333333333,0.3592386128364389,41.0,22.0,2.0007969880609293,0.8371206640848429
18,01_01_A0101135010003800014z,0.3333333333333333,0.5622505889281508,63.0,36.0,2.0115914718586954,1.2280067508838264
19,01_01_a0101135010004900033A,0.3333333333333333,0.4966567393736018,40.0,22.0,2.001572513322489,0.8669138228740865
20,01_01_a0101135010004900038z,0.5,0.4456135057471264,34.0,19.0,1.7329421475992162,0.7218759417502634
21,01_01_a0101135010004900043z,0.6666666666666666,0.3935962953456537,35.0,16.0,1.4150883486865269,0.8535209442145639
22,01_01_a0101135010005200042z,0.3333333333333333,0.2613283045977012,47.0,26.0,1.4179907599133292,0.8554167179168556
23,01_01_a0101135010005200043z,0.5,0.34097481167608285,44.0,23.0,1.4163319944228685,0.8127033788173676
24,01_01_a0101135010005200054z,0.3333333333333333,0.27420471014492753,52.0,27.0,1.0024751907279954,0.676469516795567
25,01_01_a0101135010005600032z,0.5,0.24153635155656794,32.0,17.0,1.4149640328227215,0.7018244074612978
26,01_01_A0101135080001200060z,0.5,0.18181560559006216,47.0,27.0,1.4152591488695412,0.543616635904863
27,01_01_a0101135080001400034z,0.5,0.5578608592400691,38.0,18.0,1.7327144128019387,0.8634300002210876
28,01_01_a0101135080001800024A,0.5,0.2570982299912049,32.0,17.0,1.7326597210208532,0.8287041615742855
29,01_01_a0101135080001800034z,0.6666666666666666,0.3693941318814277,36.0,18.0,1.4167066483361943,0.9003111799672812
30,01_01_a0101135080002300017z,0.3333333333333333,0.3798141501650165,56.0,30.0,1.7399390678334556,1.0439878221989394
31,01_01_a0101135080002300020z,0.3333333333333333,0.3786023102310231,55.0,30.0,1.7400374947088542,1.05072419836353
32,01_01_A0101135080004400016z,0.3333333333333333,0.912055410122164,63.0,36.0,2.013567048800622,1.4278867643124589
33,01_01_A0101135080004400020z,0.3333333333333333,0.2759431017119839,50.0,30.0,2.0036269137779383,0.9369183324615856
34,01_01_A0101135080004400021z,0.3333333333333333,0.7324864341085271,59.0,34.0,2.012422847551333,1.2810086334929651
35,01_01_A0101135080004400032z,0.3333333333333333,0.2915681017119839,49.0,28.0,2.002963813987249,0.7973575693842905
36,01_01_A0101135080004400047z,0.3333333333333333,0.2736530501089325,40.0,19.0,1.4156216424775958,0.8218210828780058
37,01_01_a0101135080004500034A,0.3333333333333333,0.488965058750773,41.0,21.0,2.001200043239912,0.7623546385572832
38,01_01_a0101135080005500017z,0.3333333333333333,0.4954153412856196,58.0,34.0,2.009468620765685,1.0606420957214928
39,01_01_a0101135080005500019z,0.3333333333333333,0.4795107687210073,59.0,34.0,2.0098252373718632,1.060520746240443
40,01_01_a0101135080005500022z,0.3333333333333333,0.4722596860387441,60.0,34.0,2.009852841032062,1.042952420428383
41,01_01_a0101135080005500026z,0.3333333333333333,0.4722596860387441,59.0,34.0,2.0084716451647284,1.1131179910373166
42,01_01_A0101135080005700022z,0.5,0.40283131923464255,33.0,20.0,1.7334037582914712,0.906046413579182
43,01_01_a0101135080005800031z,0.5,0.2286948621553885,33.0,19.0,1.732593375791353,0.7735291887529053
44,01_01_a0101135080005800046z,0.6666666666666666,0.3679217171717172,32.0,15.0,1.4151425766867016,0.7455752350411782
45,01_01_a0101135080005800047A,0.5,0.21813969082719087,31.0,18.0,1.415864365192951,0.736180505335129
46,01_01_a0101135080005800047z,0.5,0.2144317341166232,31.0,18.0,1.4156873385863238,0.7300365041531538
47,01_01_a0101135080007000014z,0.3333333333333333,0.9109857621440536,63.0,36.0,2.0145615299649955,1.3813854501542022
48,01_01_a0101135080007000018z,0.3333333333333333,1.1296228070175438,62.0,36.0,2.017502364080877,1.5094438700093922
49,01_01_A0101135080007100014z,0.3333333333333333,0.5466255889281508,50.0,31.0,1.733940656647296,1.0840913527352658
50,01_01_A0101135080007100015a,0.3333333333333333,0.5553774509803922,52.0,29.0,1.7336926916386517,1.1071089239158187
51,01_01_a0101135080007500020z,0.3333333333333333,0.16965401617757714,48.0,29.0,2.002085396100564,0.8407481129631552
52,01_01_a0101135080007500021b,0.3333333333333333,0.30553684971098266,44.0,25.0,2.001581879015402,0.919249355358091
53,01_01_a0101135080007500021c,0.3333333333333333,0.2512214912280701,48.0,27.0,2.004362421215088,0.8575917937568758
54,01_01_a0101135080007500026a,0.3333333333333333,0.3485299940898345,40.0,22.0,2.000925414840648,0.7915929432999476
55,01_01_a0101135080007800024z,0.5,0.5311272401433691,36.0,20.0,1.734632768869203,0.9215453880557604
56,01_01_a0101135080008200031A,0.5,0.3198713768115942,33.0,20.0,1.733447203869117,0.7838320151818883
57,01_01_a0101135080008200031B,0.5,0.31996884121424396,33.0,20.0,1.7335294149134255,0.7883552474989886
58,01_01_a0101135080008200031C,0.5,0.3198713768115942,36.0,19.0,1.733320775894045,0.7896742792920725
59,01_01_a0101135080008500034a,0.3333333333333333,0.2402386363636364,42.0,25.0,1.7327553122117778,0.6077413948056501
60,01_01_a0101135080008500034b,0.5,0.3200104991204925,41.0,24.0,1.7338684650143923,0.7388111745998096
61,01_01_a0101135080008900015z,0.3333333333333333,0.2514052006552007,50.0,29.0,2.001400948742505,0.8844818888736125
62,01_01_a0101135080008900024z,0.3333333333333333,0.3062358562691132,41.0,24.0,2.003144055776023,0.9942286144055752
63,01_01_a0101135080008900025z,0.3333333333333333,0.3013247126436781,43.0,26.0,2.001692709653326,0.8858344644285092
64,01_01_a0101135080009700024A,0.3333333333333333,0.5067379658385093,38.0,22.0,2.0002606783335763,0.8943074581385034
65,01_01_a0101135080009700024B,0.3333333333333333,0.3661129658385093,44.0,22.0,1.7324218875825907,0.8834486308058688
66,01_01_a0101135080009700033A,0.3333333333333333,0.2512402560339204,38.0,19.0,2.0002890018409656,0.7302097272546326
67,01_01_a0101135080009700033B,0.6666666666666666,0.3486217852371409,32.0,15.0,1.4150333493863299,0.7656078689354461
68,01_01_a0101135080010200010z,0.3333333333333333,0.6126022727272726,52.0,31.0,2.001506868360304,1.1089219782903104
