,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,0.8234938524590164,33.0,18.0,1.7470185316190618,1.3105638757819853
1,01_01_a0101135010000300031z,1.0,0.016828007518796984,20.0,2.0,0.025581890192313626,0.6726034619607357
2,01_01_a0101135010000300042z,0.6666666666666666,0.4073173822301729,29.0,11.0,1.0037934944604257,0.8855439322576371
3,01_01_a0101135010001100026z,0.6666666666666666,0.4122215732087227,35.0,14.0,0.07456971586240757,0.8811585486863587
4,01_01_a0101135010001100037z,0.6666666666666666,0.4086240583804143,35.0,14.0,0.06919829101177892,0.8752853383847838
5,01_01_A0101135010001900032z,0.8333333333333334,0.5146862957610789,29.0,9.0,0.07368511300473124,0.8484705923561877
6,01_01_A0101135010001900041z,0.6666666666666666,0.32417004139668826,37.0,16.0,0.1177042881092322,0.7622931662429432
7,01_01_a0101135010002200032A,0.8333333333333334,0.03534653972153978,9.0,3.0,1.0008297379244884,0.395125431806132
8,01_01_a0101135010002200032B,0.6666666666666666,0.4071693516308671,23.0,12.0,1.0008955479426611,0.7027947209546719
9,01_01_a0101135010002200032D,0.6666666666666666,0.3815196078431372,22.0,8.0,1.0007137007595182,0.4812872218912088
10,01_01_A0101135010002600058a,0.5,0.3435123910675381,64.0,40.0,0.08908844678380617,1.0107216398422352
11,01_01_A0101135010002600058b,0.5,0.2393795787545787,55.0,28.0,1.0050986221462552,0.9579244694611626
12,01_01_A0101135010002600058c,0.5,0.2393795787545787,55.0,28.0,1.004594913265203,0.96041315528902
13,01_01_A0101135010002600066z,0.5,0.01667681747873162,59.0,31.0,0.12563068803729854,0.8219321553704328
14,01_01_a0101135010002600076z,0.3333333333333333,0.07958489974937344,74.0,42.0,0.09394965926699328,0.9115191789286392
15,01_01_a0101135010002600077z,0.5,0.1988255826737028,30.0,16.0,1.4217985166111011,0.8878754320883451
16,01_01_a0101135010003000030z,0.6666666666666666,0.07325940860215052,29.0,19.0,1.4148628666607286,0.7037613125297429
