,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,1.1506456980966004,38.0,19.0,1.743938206727767,1.3665966009050377
1,01_01_a0101135010000300031z,0.8333333333333334,0.3259488381187869,26.0,13.0,1.0090039369008734,0.8726943867634261
2,01_01_a0101135010000300042z,0.8333333333333334,0.23641553659258896,22.0,12.0,1.0098232242656564,0.8489708530023591
3,01_01_a0101135010001100026z,0.8333333333333334,0.4913197275711388,30.0,14.0,0.11450236625700898,0.7948614977165014
4,01_01_a0101135010001100037z,0.8333333333333334,0.4877222127428304,30.0,14.0,0.11053257780437364,0.7931254361890291
5,01_01_A0101135010001900032z,0.6666666666666666,0.18753445012349507,34.0,18.0,1.008599541042923,0.7573292681696235
6,01_01_A0101135010001900041z,0.8333333333333334,0.11235680424089567,32.0,18.0,0.07894583141464079,0.6877197455796452
7,01_01_a0101135010002200032A,0.6666666666666666,0.3624983853591237,28.0,13.0,1.415633665076039,0.7623269543835292
8,01_01_a0101135010002200032B,0.5,0.27935749400671683,35.0,15.0,1.417124881284718,0.7756812143517726
9,01_01_a0101135010002200032D,0.5,0.5081322377944467,37.0,15.0,1.417479346656258,0.6999460466171553
10,01_01_A0101135010002600058a,0.3333333333333333,0.030514454570045868,70.0,39.0,1.0026021170164106,0.8568843184214929
11,01_01_A0101135010002600058b,0.3333333333333333,0.08777226688300521,55.0,27.0,1.4169501708147592,0.8668656934879562
12,01_01_A0101135010002600058c,0.3333333333333333,0.08777226688300521,55.0,27.0,1.4174837080568492,0.8761984162694628
13,01_01_A0101135010002600066z,0.6666666666666666,0.3417250281588523,56.0,28.0,0.06519750153869365,0.87004209736297
14,01_01_a0101135010002600076z,0.5,0.37548674538695737,69.0,36.0,0.10166602298663108,1.0345180050837932
15,01_01_a0101135010002600077z,0.3333333333333333,0.1666024283112867,35.0,18.0,1.7379456029636517,0.9174778406543098
16,01_01_a0101135010003000030z,0.5,0.2851424370354334,35.0,18.0,1.7333474672837832,0.7562067442020459
17,01_01_a0101135010003000032z,0.5,0.25654510053218826,27.0,15.0,1.7343778811798882,0.7921435906575143
18,01_01_A0101135010003800014z,0.3333333333333333,0.6649441012324014,52.0,29.0,2.0151467583703964,1.3315429963562162
19,01_01_a0101135010004900033A,0.5,0.4654117729306488,29.0,15.0,1.735343879101606,0.7536697829056183
20,01_01_a0101135010004900038z,0.6666666666666666,0.5008300065571242,26.0,10.0,1.4167492482971555,0.7421814161814121
21,01_01_a0101135010004900043z,0.8333333333333334,0.4002777830414031,21.0,7.0,1.0030481652171217,0.7581900171452681
22,01_01_a0101135010005200042z,0.5,0.26324020770654943,50.0,22.0,1.0052103720402092,0.7293411368196928
23,01_01_a0101135010005200043z,0.5,0.23828129937183226,48.0,13.0,1.0036867703044807,0.8399558447933623
