,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.6666666666666666,0.8222117593345604,21.0,12.0,1.4305723869260218,1.2058384544565397
1,01_01_a0101135010000300031z,0.8333333333333334,0.044389899356746976,33.0,17.0,0.12255046675981335,0.7895746920641808
2,01_01_a0101135010000300042z,0.6666666666666666,0.4085994753546289,25.0,17.0,0.14139361547986226,0.7079904897884896
3,01_01_a0101135010001100026z,0.5,0.3822536663331788,43.0,18.0,0.12041075202015213,0.8650179436147247
4,01_01_a0101135010001100037z,0.5,0.3786561515048703,43.0,18.0,0.11681998724661764,0.8629443781854989
5,01_01_A0101135010001900032z,0.6666666666666666,0.5159683888855351,34.0,19.0,0.12019577655298895,0.7777118473870952
6,01_01_A0101135010001900041z,0.5,0.3254521345211443,45.0,24.0,0.0867997566542863,0.7998162755999987
7,01_01_a0101135010002200032A,0.6666666666666666,0.034064446597083735,29.0,19.0,1.0012608592224712,0.787157510645773
8,01_01_a0101135010002200032B,0.6666666666666666,0.4084514447553231,38.0,18.0,1.0029232964727428,0.8583770863558834
9,01_01_a0101135010002200032D,0.6666666666666666,0.3828017009675933,38.0,19.0,1.0072229059222786,0.8036316374338669
10,01_01_A0101135010002600058a,0.5,0.3447944841919941,77.0,45.0,0.15175073074630635,0.972611369373412
11,01_01_A0101135010002600058b,0.5,0.2406616718790348,56.0,29.0,0.18135174373543536,0.8992350828832857
12,01_01_A0101135010002600058c,0.5,0.2406616718790348,56.0,29.0,0.18320483705674126,0.9149371463465232
13,01_01_A0101135010002600066z,0.3333333333333333,0.01329108939681234,63.0,32.0,0.1731561813569286,0.7728871857501526
14,01_01_a0101135010002600076z,0.3333333333333333,0.1095528066249174,82.0,41.0,0.1719568551328316,0.944431906312608
15,01_01_a0101135010002600077z,0.6666666666666666,0.2287934895492467,24.0,15.0,1.0222014790951912,0.8363294513364279
16,01_01_a0101135010003000030z,0.8333333333333334,0.04329150172660656,15.0,10.0,1.0008502311142151,0.5279060307057294
17,01_01_a0101135010003000032z,0.6666666666666666,0.14747903929422826,28.0,14.0,1.0028327298256634,0.8005355292093829
18,01_01_A0101135010003800014z,0.3333333333333333,0.3365101624703615,36.0,20.0,2.0125833449389674,1.1821299932218488
19,01_01_a0101135010004900033A,0.6666666666666666,0.4255221658313911,29.0,16.0,1.002715669671507,0.8338920491091095
20,01_01_a0101135010004900038z,0.6666666666666666,0.3901039322049158,31.0,19.0,1.0013905434680594,0.8046761293040288
21,01_01_a0101135010004900043z,0.5,0.32246172180344296,37.0,22.0,1.001401598742983,0.8463214854988254
22,01_01_a0101135010005200042z,0.6666666666666666,0.06519373105549052,55.0,27.0,0.16917506866697654,0.8245015464095359
23,01_01_a0101135010005200043z,0.6666666666666666,0.2229652381338722,52.0,24.0,0.15171196694577244,0.9011038802196492
24,01_01_a0101135010005200054z,0.5,0.3765892836871382,69.0,33.0,0.15092038770908833,0.7387035521517145
25,01_01_a0101135010005600032z,0.5,0.4672767780143573,44.0,20.0,1.0026923359966695,0.8437223521293402
26,01_01_A0101135080001200060z,0.6666666666666666,0.3294310320478515,52.0,27.0,0.15068265232744132,0.8207004630223663
27,01_01_a0101135080001400034z,0.8333333333333334,0.4554762856978584,37.0,15.0,0.1270387034661086,0.9677305981937798
28,01_01_a0101135080001800024A,0.8333333333333334,0.10948280353341557,33.0,16.0,0.11113187181454942,0.8278342377967008
29,01_01_a0101135080001800034z,0.6666666666666666,0.5638845583392171,35.0,18.0,0.14578477785633642,0.8672617977545508
30,01_01_a0101135080002300017z,0.5,0.2009487237072272,36.0,20.0,1.4265064274643906,0.9783786148105156
31,01_01_a0101135080002300020z,0.5,0.21536188377323373,35.0,20.0,1.4265416975027696,0.9843731555618104
32,01_01_A0101135080004400016z,0.3333333333333333,0.6863149836643747,36.0,20.0,2.0121199125445965,1.377561839746039
33,01_01_A0101135080004400020z,0.5,0.15957767525419453,31.0,17.0,1.4206573260320392,0.8774080039341211
34,01_01_A0101135080004400021z,0.5,0.5067460076507377,32.0,18.0,1.7456070993711583,1.272107715030312
35,01_01_A0101135080004400032z,0.6666666666666666,0.17520267525419453,21.0,11.0,1.420129069314951,0.8586345938676289
36,01_01_A0101135080004400047z,0.5,0.18689347656672184,45.0,22.0,1.0036084218245591,0.8443458146129688
37,01_01_a0101135080004500034A,0.8333333333333334,0.3865804852085624,24.0,13.0,0.10487794242794693,0.8475045458627958
38,01_01_a0101135080005500017z,0.5,0.2836557677434089,33.0,17.0,1.7445827439753034,1.105297661772835
39,01_01_a0101135080005500019z,0.5,0.26775119517879664,31.0,17.0,1.7449847434826855,1.1306740452347177
40,01_01_a0101135080005500022z,0.5,0.2605001124965335,31.0,17.0,1.7449447346160911,1.0857125160737515
